id_miembro,fec_registro,id_ciudad,genero,rango_edad,canal_pref,activo,fec_ultima_compra
67,2024-10-30,Girona,F,26-35,Mobile,True,2025-05-29
68,2022-02-24,Huelva,M,46-60,Mobile,True,2025-06-30
69,2023-01-23,Salamanca,F,18-25,Web,True,2024-12-01
70,2021-12-27,Las Palmas,F,26-35,Web,False,2026-03-07
71,2021-06-16,Castellón,M,46-60,Web,True,2022-03-06
72,2023-01-04,Santa Cruz de Tenerife,,46-60,Tienda,True,2024-10-01
73,2025-12-09,Guadalajara,F,46-60,Mobile,True,2025-12-19
74,2022-07-22,Sevilla,M,18-25,Tienda,True,2023-02-07
75,2024-07-02,Cádiz,,36-45,Web,True,2025-05-15
76,2023-01-08,León,,26-35,Web,True,2026-03-13
77,2022-04-10,La Coruña,,26-35,Web,True,2025-01-11
78,2021-07-06,Las Palmas,F,26-35,Web,True,2026-01-31
79,2026-01-11,Guipúzcoa,,60+,Mobile,True,2026-05-04
80,2025-06-03,Ourense,M,18-25,Mobile,True,2025-07-13
81,2021-09-21,Castellón,F,60+,Tienda,True,2025-12-22
82,2022-03-23,Soria,F,46-60,Tienda,True,2025-08-27
83,2023-08-11,Santa Cruz de Tenerife,F,46-60,Mobile,True,2025-08-16
84,2023-09-29,Segovia,M,46-60,Web,True,2024-10-07
85,2026-01-27,Córdoba,M,26-35,Web,True,2026-04-17
86,2022-07-05,Albacete,,60+,Web,True,2024-11-05
87,2026-01-04,Burgos,F,18-25,Mobile,True,2026-05-11
88,2023-04-18,Castellón,,60+,Web,False,2025-07-31
89,2021-06-22,Ourense,M,18-25,Tienda,True,2026-01-08
90,2022-06-12,Salamanca,M,18-25,Mobile,True,2024-11-15
91,2023-07-04,Vizcaya,F,18-25,Tienda,True,2024-11-20
92,2023-10-14,Jaén,F,26-35,Web,True,2025-01-22
93,2021-10-21,Lugo,F,46-60,Tienda,True,2022-05-09
94,2022-07-08,Cáceres,,60+,Mobile,False,2025-03-04
95,2024-06-21,Murcia,,26-35,Mobile,True,2024-06-22
96,2024-05-07,Huesca,,60+,Web,True,2024-09-03
97,2025-10-01,Huelva,M,18-25,Mobile,True,2026-05-03
98,2024-01-19,Cádiz,,26-35,Mobile,True,2025-11-10
99,2023-07-09,Murcia,M,36-45,Tienda,True,2025-01-19
100,2022-04-23,Cáceres,F,26-35,Web,True,2026-01-04
101,2024-09-03,La Rioja,F,26-35,Tienda,True,2026-04-28
102,2025-09-06,Tarragona,F,26-35,Web,True,2025-11-16
103,2022-02-17,Castellón,,18-25,Web,False,2023-06-20
104,2024-02-25,Castellón,,46-60,Web,True,2024-06-12
105,2021-07-31,Pontevedra,,18-25,Tienda,True,2022-08-01
106,2023-09-06,Ceuta,F,26-35,Mobile,True,2025-09-17
107,2022-10-21,Lugo,F,46-60,Web,True,2024-06-08
108,2024-05-07,Santa Cruz de Tenerife,M,18-25,Mobile,True,2025-06-13
109,2024-01-28,León,,36-45,Mobile,True,2025-02-07
110,2023-10-10,Cuenca,M,18-25,Web,True,2024-03-31
111,2022-03-27,Málaga,,26-35,Mobile,True,2023-01-11
112,2022-09-09,Albacete,F,60+,Mobile,True,2023-07-12
113,2025-05-07,Lleida,F,36-45,Web,True,2025-11-20
114,2025-10-08,Ávila,F,46-60,Mobile,True,2026-01-10
115,2021-12-04,Guadalajara,F,46-60,Mobile,True,2022-12-06
116,2025-02-02,Huesca,M,26-35,Tienda,True,2026-03-04
117,2024-11-06,Zaragoza,M,18-25,Mobile,False,2025-10-04
118,2025-12-28,Ceuta,F,60+,Tienda,True,2026-02-09
119,2023-12-13,Barcelona,M,60+,Mobile,True,2024-10-29
120,2026-02-18,Baleares,,18-25,Tienda,True,2026-04-27
121,2024-03-01,Salamanca,F,46-60,Web,True,2025-03-08
122,2023-10-26,Valladolid,F,18-25,Web,True,2023-11-01
123,2024-09-12,Córdoba,,36-45,Web,True,2025-11-03
124,2022-08-08,Jaén,,60+,Tienda,False,2025-03-12
125,2026-05-08,Teruel,M,36-45,Tienda,True,2026-05-13
126,2024-01-08,Tarragona,,60+,Web,True,2024-02-27
127,2022-03-02,Navarra,,26-35,Mobile,True,2024-06-22
128,2023-11-16,Tarragona,,46-60,Web,True,2025-10-22
129,2023-03-28,Murcia,,18-25,Web,True,2024-01-15
130,2022-10-16,Murcia,,46-60,Mobile,True,2025-12-12
131,2023-06-04,Burgos,M,46-60,Mobile,True,2024-09-27
132,2022-09-14,Santa Cruz de Tenerife,F,36-45,Web,True,2023-04-27
133,2021-08-15,Cuenca,M,60+,Tienda,True,2023-11-13
134,2022-11-07,Santa Cruz de Tenerife,F,26-35,Web,True,2024-06-13
135,2022-10-28,Castellón,F,60+,Mobile,True,2024-11-04
136,2026-05-01,Asturias,F,46-60,Mobile,True,2026-05-01
137,2024-11-07,Cuenca,F,18-25,Web,True,2025-11-15
138,2021-11-17,Guadalajara,F,18-25,Tienda,True,2022-08-03
139,2023-04-04,Navarra,M,18-25,Tienda,False,2024-08-09
140,2024-08-29,Córdoba,,36-45,Tienda,True,2024-10-12
141,2021-10-23,Ciudad,M,46-60,Mobile,True,2022-12-24
142,2024-10-02,Zamora,M,26-35,Mobile,True,2026-05-03
143,2022-11-14,Cádiz,,60+,Tienda,True,2022-12-21
144,2026-01-05,Toledo,,36-45,Tienda,True,2026-05-15
145,2023-10-31,Ávila,M,18-25,Tienda,True,2024-04-24
146,2024-09-27,Álava,M,36-45,Mobile,True,2025-10-16
147,2025-08-13,Melilla,,60+,Mobile,True,2025-10-28
148,2022-10-08,Toledo,M,26-35,Mobile,True,2024-06-23
149,2021-12-22,Girona,,46-60,Web,True,2023-03-19
150,2026-01-02,Barcelona,,26-35,Web,True,2026-01-16
151,2023-07-17,Lugo,F,26-35,Mobile,True,2024-08-12
152,2023-04-08,Zaragoza,,36-45,Web,True,2026-02-04
153,2021-06-20,Segovia,M,60+,Web,True,2026-04-22
154,2021-06-27,Burgos,F,60+,Tienda,True,2025-03-19
155,2023-07-24,Madrid,F,18-25,Tienda,True,2024-02-11
156,2023-04-14,Albacete,,46-60,Tienda,True,2025-07-06
157,2023-10-14,Alicante,,26-35,Tienda,False,2026-05-13
158,2023-05-06,Huesca,M,26-35,Web,True,2025-09-10
159,2026-01-05,Almería,,60+,Tienda,True,2026-05-10
160,2023-05-18,Huelva,,46-60,Mobile,False,2024-01-02
161,2021-11-04,Jaén,,26-35,Mobile,True,2025-06-10
162,2021-08-23,Madrid,F,36-45,Mobile,True,2025-01-10
163,2021-10-25,Huelva,M,46-60,Tienda,True,2022-09-27
164,2025-11-13,Barcelona,F,60+,Mobile,True,2026-01-03
165,2025-01-14,Zaragoza,,26-35,Web,True,2025-06-18
166,2021-10-17,Zaragoza,,36-45,Tienda,True,2026-03-17
167,2022-07-06,Castellón,,26-35,Tienda,True,2024-03-29
168,2025-06-25,Guipúzcoa,,60+,Tienda,True,2025-08-31
169,2026-04-24,Soria,,18-25,Mobile,True,2026-04-28
170,2026-02-17,León,F,60+,Tienda,True,2026-03-07
171,2023-06-22,Guadalajara,,60+,Mobile,True,2024-12-21
172,2022-07-11,Palencia,M,60+,Web,True,2024-08-24
173,2025-10-18,Granada,F,26-35,Web,True,2026-03-08
174,2025-09-14,Murcia,M,36-45,Web,True,2026-04-16
175,2024-02-24,Córdoba,,36-45,Web,True,2026-02-03
176,2025-11-06,Huelva,,36-45,Web,True,2026-01-18
177,2023-01-11,Cáceres,M,36-45,Mobile,True,2023-02-17
178,2022-02-19,Huesca,,60+,Web,True,2022-07-16
179,2022-03-01,León,F,26-35,Tienda,True,2025-11-14
180,2023-01-27,Badajoz,,18-25,Mobile,True,2025-04-07
181,2022-12-15,Alicante,F,36-45,Tienda,True,2023-10-24
182,2022-01-23,Ávila,M,36-45,Web,False,2025-09-18
183,2021-08-19,Alicante,F,26-35,Tienda,True,2024-09-30
184,2024-07-20,Alicante,,60+,Tienda,False,2025-07-10
185,2022-06-13,Salamanca,M,26-35,Mobile,True,2022-08-23
186,2022-01-09,Murcia,M,18-25,Web,True,2025-12-03
187,2022-09-20,Lugo,,60+,Web,True,2023-07-29
188,2023-02-24,Pontevedra,M,46-60,Mobile,True,2025-05-29
189,2024-05-09,Zamora,F,26-35,Web,False,2025-03-10
190,2022-11-03,Santa Cruz de Tenerife,F,18-25,Mobile,True,2023-07-28
191,2023-01-02,Ávila,,26-35,Web,True,2023-03-21
192,2024-12-27,Ciudad,F,60+,Web,False,2025-03-08
193,2024-06-08,Segovia,,36-45,Mobile,False,2025-07-29
194,2022-04-13,Madrid,,36-45,Web,True,2023-10-29
195,2025-09-27,Girona,,26-35,Web,True,2026-02-18
196,2025-09-29,Segovia,M,60+,Web,True,2026-04-02
197,2023-07-28,Asturias,,60+,Mobile,True,2024-04-01
198,2021-10-03,Guadalajara,F,26-35,Web,True,2023-07-18
199,2025-06-27,La Rioja,F,36-45,Mobile,True,2025-09-04
200,2024-05-14,Baleares,,60+,Mobile,True,2024-05-26
201,2021-06-26,Badajoz,,18-25,Web,True,2021-10-31
202,2023-08-18,Melilla,F,26-35,Tienda,False,2024-08-21
203,2026-05-17,Teruel,,26-35,Web,True,2026-05-17
204,2023-10-04,Cáceres,F,18-25,Mobile,True,2024-01-01
205,2025-02-18,Ciudad,,36-45,Web,True,2026-02-04
206,2022-11-10,Asturias,F,60+,Tienda,True,2024-01-06
207,2026-01-08,La Rioja,F,18-25,Mobile,True,2026-03-08
208,2022-10-22,Badajoz,F,60+,Web,True,2023-10-24
209,2024-11-03,Salamanca,M,60+,Tienda,True,2025-11-10
210,2023-11-12,Burgos,,18-25,Web,True,2025-09-21
211,2024-09-16,Castellón,,46-60,Web,True,2024-10-25
212,2021-10-26,Segovia,,46-60,Tienda,True,2025-01-19
213,2021-07-12,Teruel,,26-35,Web,True,2021-11-22
214,2021-05-24,Cádiz,,36-45,Web,True,2026-04-13
215,2024-12-01,Las Palmas,M,18-25,Web,True,2025-04-15
216,2022-11-26,Melilla,,18-25,Tienda,True,2024-09-24
217,2022-01-05,Barcelona,F,46-60,Mobile,True,2025-12-02
218,2024-12-19,Santa Cruz de Tenerife,,46-60,Mobile,True,2025-10-23
219,2025-06-30,Segovia,M,46-60,Tienda,True,2025-07-15
220,2021-11-24,León,,18-25,Tienda,False,2026-04-30
221,2026-02-10,Toledo,M,60+,Web,True,2026-03-23
222,2022-05-29,Badajoz,F,60+,Web,True,2023-06-12
223,2021-10-03,Granada,,36-45,Tienda,True,2024-08-11
224,2022-03-22,Huelva,F,46-60,Mobile,True,2025-10-11
225,2026-03-03,Tarragona,,18-25,Mobile,True,2026-05-16
226,2023-04-28,La Rioja,,26-35,Web,True,2025-09-09
227,2024-04-11,Córdoba,,36-45,Tienda,True,2026-01-19
228,2022-02-16,Castellón,F,36-45,Web,True,2023-04-20
229,2024-06-10,Navarra,,26-35,Web,True,2024-08-30
230,2021-10-21,Ceuta,M,60+,Tienda,True,2023-03-15
231,2024-02-15,Palencia,,60+,Web,True,2025-10-17
232,2024-12-13,Cuenca,M,36-45,Web,True,2024-12-30
233,2024-01-29,Palencia,,60+,Web,True,2024-07-28
234,2026-02-03,Guadalajara,M,26-35,Tienda,True,2026-02-27
235,2024-12-21,Asturias,M,18-25,Web,False,2025-01-04
236,2025-05-20,Guadalajara,M,60+,Mobile,True,2026-03-04
237,2023-07-20,Ourense,M,36-45,Tienda,True,2024-06-03
238,2026-01-12,Cuenca,F,18-25,Web,False,2026-03-10
239,2022-08-19,Tarragona,F,36-45,Mobile,True,2026-04-12
240,2021-11-06,Melilla,,26-35,Web,True,2024-11-25
241,2022-11-28,Sevilla,,18-25,Web,True,2023-05-27
242,2022-05-22,Ciudad,F,46-60,Mobile,False,2025-08-19
243,2023-01-02,Toledo,,36-45,Tienda,False,2024-12-14
244,2022-10-15,Barcelona,M,60+,Tienda,True,2024-07-02
245,2023-07-14,Baleares,F,46-60,Web,True,2026-05-17
246,2025-05-04,Teruel,F,26-35,Web,True,2025-12-31
247,2024-02-01,Álava,F,36-45,Web,True,2025-03-06
248,2021-06-07,Huelva,F,46-60,Mobile,True,2024-07-13
249,2025-10-11,Cantabria,F,46-60,Tienda,True,2026-03-15
250,2025-01-02,Vizcaya,M,60+,Web,True,2025-08-22
251,2025-12-21,Navarra,M,60+,Web,True,2026-03-27
252,2024-02-01,Zamora,,18-25,Tienda,True,2025-04-22
253,2025-03-29,Cantabria,M,60+,Tienda,True,2026-04-26
254,2023-10-18,Vizcaya,,60+,Mobile,False,2023-11-30
255,2024-08-21,Palencia,M,18-25,Tienda,True,2025-01-03
256,2026-04-19,Huesca,,60+,Mobile,True,2026-04-28
257,2023-12-19,Ciudad,F,46-60,Web,False,2025-07-02
258,2022-03-28,La Rioja,,36-45,Web,True,2023-12-26
259,2026-02-09,Ávila,,60+,Web,True,2026-05-07
260,2025-03-25,Huelva,F,60+,Web,True,2026-04-15
261,2023-08-14,Baleares,,26-35,Tienda,True,2023-08-18
262,2024-05-07,Santa Cruz de Tenerife,F,26-35,Web,False,2026-05-01
263,2025-09-19,Ávila,,26-35,Tienda,True,2025-10-23
264,2022-08-31,Pontevedra,F,18-25,Web,True,2023-03-14
265,2021-12-17,Ceuta,M,18-25,Mobile,True,2024-03-04
266,2022-04-03,Castellón,M,18-25,Tienda,True,2022-12-10
267,2025-04-01,Sevilla,,36-45,Mobile,True,2026-02-03
268,2023-01-30,Albacete,F,18-25,Web,True,2024-05-21
269,2022-02-08,Jaén,M,60+,Tienda,True,2023-11-26
270,2022-05-07,Salamanca,,36-45,Tienda,True,2023-11-27
271,2025-02-11,Guadalajara,,26-35,Mobile,True,2026-01-30
272,2023-02-05,Sevilla,F,60+,Tienda,True,2024-11-04
273,2023-01-15,La Coruña,,36-45,Mobile,True,2025-08-01
274,2021-12-03,Soria,,46-60,Mobile,True,2021-12-08
275,2022-06-10,Ourense,F,46-60,Tienda,True,2025-08-21
276,2026-04-04,Zamora,,26-35,Mobile,True,2026-05-17
277,2026-02-18,Soria,M,18-25,Tienda,True,2026-02-25
278,2021-09-17,Asturias,M,26-35,Web,True,2026-02-10
279,2023-04-29,Girona,F,60+,Tienda,True,2024-02-13
280,2022-12-24,Lleida,,26-35,Mobile,True,2026-04-10
281,2021-10-14,Burgos,,18-25,Mobile,True,2022-05-16
282,2023-04-05,Ourense,F,26-35,Tienda,True,2026-05-08
283,2024-04-09,Ceuta,,46-60,Web,True,2026-01-01
284,2022-12-15,Huelva,M,26-35,Tienda,False,2023-07-28
285,2022-03-03,Ceuta,M,26-35,Tienda,True,2025-12-01
286,2025-03-15,Castellón,M,60+,Web,True,2025-07-14
287,2023-07-17,Albacete,M,36-45,Web,True,2023-07-29
288,2023-12-07,Cáceres,F,60+,Tienda,True,2025-03-02
289,2023-07-17,Valencia,,36-45,Web,True,2023-08-11
290,2021-05-17,Córdoba,F,60+,Mobile,True,2023-03-28
291,2024-11-27,Baleares,M,26-35,Mobile,False,2025-06-08
292,2024-07-13,Jaén,M,60+,Web,False,2025-01-22
293,2021-07-12,Huesca,,60+,Mobile,True,2024-03-07
294,2022-10-16,Albacete,,36-45,Mobile,False,2023-08-20
295,2025-03-03,Ávila,,18-25,Web,True,2025-03-08
296,2022-07-05,Valladolid,F,26-35,Web,True,2023-10-11
297,2022-01-04,Valladolid,M,60+,Tienda,True,2022-05-29
298,2022-03-12,Barcelona,M,60+,Web,True,2026-02-15
299,2023-11-05,La Rioja,F,60+,Tienda,True,2024-04-13
300,2024-03-25,Huesca,,60+,Web,True,2025-02-23
301,2022-05-05,Segovia,F,26-35,Tienda,True,2025-09-09
302,2022-12-21,Zaragoza,M,46-60,Tienda,True,2023-12-20
303,2021-11-06,Lugo,F,18-25,Tienda,True,2025-12-13
304,2025-04-01,Ourense,F,26-35,Mobile,True,2025-12-08
305,2021-07-11,Guadalajara,F,60+,Tienda,False,2025-05-10
306,2022-06-11,Huesca,M,46-60,Web,True,2024-12-24
307,2025-02-26,Ciudad,F,26-35,Web,True,2025-06-19
308,2024-01-09,Ávila,,60+,Mobile,True,2024-04-15
309,2024-06-07,Álava,M,18-25,Tienda,True,2025-08-05
310,2024-06-05,Valencia,,60+,Web,True,2025-08-01
311,2024-12-03,Ávila,M,46-60,Tienda,True,2025-07-21
312,2026-04-09,Soria,,36-45,Mobile,True,2026-05-14
313,2021-10-30,Huelva,M,26-35,Mobile,False,2025-03-21
314,2024-02-09,Zamora,F,36-45,Tienda,True,2024-05-08
315,2024-07-21,Soria,,36-45,Tienda,True,2024-08-26
316,2023-04-15,Baleares,,46-60,Web,True,2023-06-01
317,2021-10-17,Murcia,,60+,Mobile,True,2022-08-29
318,2023-07-11,Tarragona,F,60+,Tienda,True,2026-04-23
319,2023-06-19,Valladolid,F,36-45,Tienda,True,2025-01-27
320,2025-11-15,Jaén,,46-60,Tienda,True,2026-03-30
321,2024-04-08,Pontevedra,,18-25,Tienda,True,2025-03-06
322,2021-10-06,Cáceres,F,26-35,Web,True,2021-11-17
323,2023-04-27,Pontevedra,,46-60,Mobile,True,2024-03-24
324,2026-01-07,Ciudad,,18-25,Web,True,2026-04-16
325,2023-03-20,Huelva,,18-25,Web,True,2024-03-09
326,2024-11-26,Guipúzcoa,F,60+,Mobile,True,2026-01-22
327,2025-11-12,Baleares,M,36-45,Web,True,2026-02-25
328,2021-06-20,Jaén,M,60+,Web,True,2026-03-15
329,2026-05-03,Cuenca,F,60+,Tienda,True,2026-05-15
330,2022-09-21,Teruel,F,60+,Web,True,2025-05-30
331,2024-08-30,Jaén,,46-60,Mobile,True,2025-01-22
332,2024-06-07,Cuenca,M,60+,Mobile,True,2025-08-06
333,2021-05-19,Zaragoza,M,60+,Tienda,True,2023-03-06
334,2024-12-26,Valladolid,,26-35,Tienda,True,2026-04-18
335,2023-03-06,Palencia,,18-25,Mobile,True,2026-01-28
336,2021-12-05,Málaga,,18-25,Web,True,2024-10-24
337,2025-04-27,Zaragoza,F,46-60,Mobile,True,2026-02-05
338,2023-08-25,Ciudad,F,60+,Web,True,2023-12-02
339,2024-05-03,Segovia,M,18-25,Web,True,2025-03-27
340,2025-06-20,Barcelona,F,60+,Tienda,True,2026-03-25
341,2024-12-24,Cádiz,F,36-45,Web,False,2025-10-30
342,2023-09-29,Barcelona,M,46-60,Mobile,False,2024-05-24
343,2022-08-17,Toledo,M,36-45,Web,True,2024-03-16
344,2026-02-06,Córdoba,,18-25,Tienda,True,2026-03-02
345,2026-02-08,Soria,,36-45,Mobile,True,2026-05-17
346,2022-06-25,Toledo,,36-45,Tienda,False,2024-04-08
347,2022-01-28,Ceuta,F,46-60,Mobile,False,2022-09-28
348,2023-12-13,Teruel,F,26-35,Mobile,True,2024-01-14
349,2022-12-08,Cuenca,,46-60,Tienda,True,2023-10-10
350,2021-09-10,Almería,F,18-25,Mobile,True,2023-06-12
351,2023-10-03,Teruel,F,26-35,Tienda,True,2025-04-13
352,2022-08-28,Teruel,F,46-60,Mobile,True,2024-09-27
353,2024-10-22,Lugo,,18-25,Tienda,True,2025-01-02
354,2023-11-14,León,M,36-45,Web,True,2026-01-18
355,2024-09-27,Badajoz,,36-45,Web,True,2026-05-05
356,2024-10-15,Burgos,M,46-60,Mobile,True,2026-02-06
357,2024-09-25,Lugo,M,60+,Mobile,True,2024-10-24
358,2023-07-20,Navarra,,26-35,Mobile,True,2025-08-29
359,2025-05-04,Navarra,M,26-35,Mobile,True,2025-12-20
360,2024-01-18,Granada,M,26-35,Web,False,2024-05-11
361,2023-11-01,Málaga,F,26-35,Web,True,2024-08-17
362,2026-04-21,Palencia,M,46-60,Tienda,True,2026-05-03
363,2024-04-02,Burgos,,18-25,Mobile,True,2025-01-04
364,2021-10-02,La Rioja,,36-45,Mobile,False,2022-08-31
365,2023-11-01,Lleida,F,46-60,Web,True,2026-01-23
366,2024-07-05,Málaga,F,46-60,Web,False,2025-12-09
367,2022-03-23,Barcelona,M,18-25,Tienda,True,2025-08-24
368,2025-03-20,Ciudad,F,60+,Web,True,2025-09-20
369,2022-01-03,Ourense,F,46-60,Tienda,True,2023-06-01
370,2022-06-16,Albacete,F,18-25,Tienda,True,2024-07-15
371,2024-12-21,Alicante,F,36-45,Tienda,True,2026-04-26
372,2021-12-16,Navarra,M,26-35,Mobile,False,2023-05-04
373,2023-11-06,Lugo,M,36-45,Mobile,False,2025-01-20
374,2023-03-28,Murcia,F,26-35,Tienda,True,2026-05-03
375,2024-10-04,Córdoba,M,36-45,Mobile,False,2026-03-12
376,2026-02-05,Baleares,F,36-45,Web,True,2026-04-30
377,2023-06-15,Valladolid,F,26-35,Mobile,True,2023-11-27
378,2025-04-08,Madrid,F,46-60,Mobile,True,2025-10-02
379,2022-05-14,Badajoz,M,60+,Web,False,2025-07-05
380,2022-02-13,Lleida,,26-35,Web,True,2022-11-04
381,2023-09-10,Pontevedra,M,60+,Mobile,True,2024-09-18
382,2024-11-10,Barcelona,M,26-35,Tienda,True,2025-03-08
383,2025-11-05,Valladolid,F,18-25,Web,True,2026-03-26
384,2023-02-26,Zaragoza,F,26-35,Tienda,True,2025-11-17
385,2021-07-20,Segovia,,36-45,Mobile,True,2023-10-21
386,2023-09-27,Sevilla,F,60+,Tienda,True,2024-04-30
387,2024-06-02,Burgos,F,18-25,Tienda,True,2025-12-07
388,2021-09-01,Baleares,M,26-35,Mobile,True,2021-10-15
389,2025-01-11,Lugo,,18-25,Mobile,True,2025-09-17
390,2021-12-15,Vizcaya,F,36-45,Mobile,True,2023-08-10
391,2024-07-19,Castellón,,36-45,Mobile,True,2025-10-19
392,2025-07-24,Asturias,F,18-25,Mobile,False,2025-08-13
393,2024-02-17,Segovia,M,60+,Tienda,True,2024-07-18
394,2023-03-15,La Coruña,M,36-45,Mobile,True,2023-06-16
395,2021-08-11,Cáceres,,60+,Mobile,True,2023-04-18
396,2025-12-28,Ávila,M,46-60,Tienda,True,2025-12-30
397,2025-01-04,Baleares,F,26-35,Web,True,2025-08-14
398,2023-05-22,Palencia,F,60+,Tienda,True,2024-05-30
399,2022-07-26,Tarragona,M,18-25,Web,True,2025-09-25
400,2025-06-18,Alicante,M,36-45,Mobile,True,2026-04-04
401,2022-08-03,Ciudad,,36-45,Tienda,True,2026-01-17
402,2025-09-08,Burgos,F,46-60,Mobile,False,2025-11-04
403,2022-09-14,Zamora,,46-60,Mobile,True,2024-12-14
404,2021-12-06,Huelva,M,18-25,Web,True,2023-03-08
405,2022-10-13,Almería,,36-45,Tienda,True,2026-01-23
406,2023-01-15,Madrid,M,26-35,Mobile,True,2025-11-03
407,2024-11-14,Las Palmas,M,18-25,Mobile,True,2025-07-30
408,2023-03-01,Vizcaya,M,18-25,Mobile,True,2024-04-26
409,2025-09-08,Tarragona,M,18-25,Mobile,False,2025-11-11
410,2024-07-18,Murcia,M,18-25,Tienda,True,2026-04-21
411,2026-01-26,Álava,F,26-35,Web,True,2026-01-30
412,2022-01-13,Asturias,F,26-35,Web,True,2025-11-30
413,2023-10-09,Cantabria,M,18-25,Web,True,2024-10-06
414,2025-05-19,Teruel,F,46-60,Mobile,True,2025-06-27
415,2024-06-10,Ceuta,F,60+,Mobile,True,2025-06-05
416,2023-03-16,Las Palmas,,60+,Web,False,2024-03-15
