art_id,cod_barra,desc_art,id_categ_n1,id_categ_n2,id_categ_n3,id_proveedor,precio_lista,peso_kg,unid_medida,activo,fec_alta
74,5273509928303,Hat,Moda,Pantalones,américa,684,723.05,9.58,UND,True,2024-02-13
75,0763199221594,Generic Cotton Car,Hogar,Limpieza,río,703,159.18,2.06,LT,True,2025-12-03
76,3422797551737,Handcrafted Computer,Hogar,Cocina,dicen,351,1074.13,14.89,UND,True,2024-05-22
77,5966957843341,Car,Bebés,Juguetes,posibilidades,62,1167.6,17.18,UND,True,2026-03-16
78,2748843325352,Soft Cheese,Hogar,Decoración,seis,338,315.86,7.6,LT,True,2025-04-10
79,6301523370811,Ergonomic Wooden Bacon,Tecnología,Computadores,objetivo,227,170.81,11.43,KG,True,2025-03-20
80,5099650471884,Metal Tuna,Tecnología,Computadores,pequeño,735,2798.68,3.92,LT,True,2025-04-07
81,7106532077237,Unbranded Pizza,Moda,Zapatos,octubre,79,164.17,16.78,LT,True,2025-01-26
82,7754161489787,Pizza,Hogar,Decoración,libro,347,246.62,19.09,UND,True,2025-07-19
83,8838432138495,Fresh Computer,Hogar,Cocina,llegar,418,44.4,17.16,KG,True,2024-09-25
84,6602637627779,Generic Steel Shirt,Hogar,Limpieza,momento,259,1310.1,19.61,UND,True,2026-05-15
85,4559519331809,Fresh Tuna,Hogar,Limpieza,diversas,393,78.8,8.02,LT,True,2025-10-21
86,6890995440578,Chips,Hogar,Cocina,congreso,617,539.28,19.48,UND,True,2025-03-15
87,7339043219609,New Concrete Bike,Hogar,Limpieza,dar,34,448.89,8.55,LT,True,2025-01-26
88,6348798057788,Gorgeous Soft Car,Moda,Camisas,países,594,306.28,4.78,LT,True,2025-09-05
89,8248317526208,Ergonomic Table,Bebés,Ropa bebé,régimen,570,192.56,2.36,KG,True,2024-06-30
90,7923881548054,Licensed Salad,Moda,Pantalones,flores,481,514.52,16.47,UND,True,2025-05-30
91,8117155995913,Plastic Salad,Hogar,Limpieza,tiene,70,1891.87,4.76,LT,True,2024-03-10
92,7341659290460,Gently Used Fresh Hat,Hogar,Limpieza,marco,717,257.16,6.52,KG,True,2024-11-24
93,9466877569865,Sleek Frozen Towels,Hogar,Limpieza,mitad,508,63.24,4.04,LT,True,2024-10-01
94,8702878703374,Handmade Metal Bike,Tecnología,Computadores,ahí,62,54.12,3.47,LT,True,2024-01-23
95,5002532571022,Gloves,Hogar,Decoración,objeto,444,274.33,14.34,KG,True,2025-07-30
96,7878572824019,Chair,Moda,Zapatos,tema,346,209.81,11.72,LT,True,2023-07-18
97,8858640053649,Computer,Moda,Pantalones,mayoría,483,279.06,18.79,KG,True,2024-06-01
98,1747348686716,Generic Mouse,Tecnología,Celulares,formación,341,440.81,18.91,KG,True,2025-11-02
99,6358285760664,Sleek Shirt,Bebés,Ropa bebé,fuerte,211,204.17,1.35,UND,True,2025-01-04
100,9451240394236,Computer,Moda,Camisas,hacia,400,5000.0,6.68,LT,True,2023-12-25
101,7819561599242,Used Bacon,Moda,Camisas,doctor,572,485.43,8.26,UND,True,2025-02-18
102,4357538549720,Unbranded Computer,Hogar,Limpieza,origen,533,816.1,13.05,LT,True,2025-07-24
103,1684813747643,Handcrafted Concrete Chicken,Hogar,Cocina,medida,691,283.21,10.43,UND,True,2023-08-11
104,9036686103729,Small Concrete Chair,Hogar,Limpieza,existen,443,285.14,16.56,LT,True,2023-08-20
105,7422052593478,Generic Cheese,Tecnología,Celulares,características,788,182.87,3.17,LT,True,2025-04-06
106,7890310535667,Sleek Rubber Bacon,Bebés,Ropa bebé,nos,322,357.04,5.15,UND,True,2025-06-21
107,6880564221943,Salad,Tecnología,Celulares,especie,321,72.14,7.94,UND,True,2025-10-22
108,4996639173894,Concrete Computer,Tecnología,Celulares,haber,32,66.42,4.71,LT,True,2025-09-20
109,3390294037422,Steel Hat,Moda,Zapatos,cerca,439,178.12,8.36,UND,True,2024-01-03
110,2561609985306,Cotton Soap,Bebés,Juguetes,base,753,128.54,9.68,LT,True,2025-04-04
111,1055032868608,Rubber Towels,Hogar,Cocina,después,783,178.2,14.08,KG,True,2023-06-12
112,6603223858119,Tuna,Bebés,Ropa bebé,futuro,234,236.52,1.49,KG,True,2025-07-25
113,7494345641760,Handcrafted Metal Bacon,Bebés,Ropa bebé,edad,113,248.03,5.34,UND,True,2025-07-11
114,8682079463225,Cheese,Bebés,Ropa bebé,opinión,732,746.36,14.7,LT,True,2025-10-27
115,1591484674409,Frozen Shoes,Hogar,Decoración,capital,238,717.35,4.83,UND,True,2023-09-25
116,7747828135653,Handmade Chair,Tecnología,Computadores,consumo,394,321.81,9.97,LT,True,2024-04-24
117,3014255274069,Fantastic Plastic Tuna,Tecnología,Celulares,corazón,147,2410.96,16.78,UND,True,2025-08-09
118,9992048013535,Generic Bike,Bebés,Ropa bebé,sus,79,207.68,18.05,UND,True,2025-06-18
119,8021798621491,Unbranded Sausages,Tecnología,Computadores,ojos,10,761.23,7.56,UND,True,2025-07-31
120,2611773661688,New Towels,Bebés,Pañales,muchos,747,549.08,6.93,LT,True,2023-08-02
121,5264495933693,Sleek Cotton Towels,Hogar,Cocina,elementos,262,266.48,2.56,KG,True,2023-08-29
122,7479485765385,Refined Steel Shoes,Bebés,Juguetes,verdad,312,290.8,5.6,UND,True,2023-10-10
123,8399751882785,Rubber Table,Hogar,Decoración,siete,252,213.03,1.29,UND,True,2023-07-05
124,2771967998348,Refined Frozen Soap,Tecnología,TV,tribunal,193,707.14,18.59,LT,True,2026-04-02
125,7428684828513,Pants,Bebés,Ropa bebé,luego,239,1154.45,11.11,UND,True,2025-02-16
126,7705659425220,Awesome Chips,Tecnología,Computadores,diferentes,798,343.49,16.03,LT,True,2023-06-16
127,4944954256761,Sleek Computer,Moda,Camisas,plaza,694,51.17,9.08,UND,True,2024-09-19
128,8990346237593,Fantastic Mouse,Moda,Zapatos,cuba,56,571.79,9.73,LT,True,2026-01-29
129,9306285365652,Cheese,Tecnología,Celulares,ve,70,276.86,4.3,LT,True,2025-09-11
130,0493974971863,Sleek Cheese,Hogar,Cocina,operación,394,115.3,19.54,UND,True,2023-09-07
131,7828600659939,New Soft Shirt,Bebés,Pañales,pie,632,357.05,19.99,UND,True,2025-07-26
132,8583771987739,Shirt,Moda,Camisas,quien,670,233.85,15.44,LT,True,2025-04-01
133,1853662090112,Rustic Cotton Salad,Bebés,Juguetes,gente,68,110.62,1.11,KG,True,2025-07-01
134,0220523172859,Rustic Sausages,Moda,Pantalones,hija,478,265.43,16.33,LT,True,2026-02-16
135,5072713017366,Fresh Shirt,Tecnología,Celulares,atención,300,1357.78,3.83,LT,True,2026-01-02
136,7497359571085,Pizza,Hogar,Limpieza,esos,550,381.6,13.28,UND,True,2024-02-11
137,3370605003124,Concrete Pizza,Hogar,Cocina,español,785,339.79,2.69,KG,True,2025-06-03
138,2446932126261,Bike,Tecnología,Computadores,ministerio,747,517.66,13.05,KG,True,2024-04-24
139,7825529757685,Awesome Chair,Bebés,Pañales,técnica,384,419.07,2.46,KG,True,2024-12-16
140,9408711897468,Refined Shoes,Bebés,Ropa bebé,donde,260,250.1,17.38,UND,True,2024-06-02
141,1421785642954,Soft Sausages,Tecnología,TV,sobre,485,402.48,1.64,LT,True,2025-08-27
142,0461984394477,Small Wooden Sausages,Bebés,Ropa bebé,debía,683,360.22,14.31,KG,True,2025-06-28
143,4352843436161,Awesome Chair,Bebés,Pañales,considera,352,38.67,17.25,KG,True,2024-07-20
144,9003829496352,Pants,Bebés,Pañales,amigo,521,562.16,15.93,UND,True,2025-05-27
145,9600252712471,Table,Hogar,Cocina,ya,666,346.39,13.68,KG,True,2024-02-10
146,8341098030459,Generic Wooden Keyboard,Tecnología,Celulares,hacerlo,70,569.07,6.43,UND,True,2024-02-25
147,0547093229531,Pants,Bebés,Juguetes,libros,398,324.9,1.33,KG,True,2025-12-17
148,4221757987802,Sausages,Bebés,Ropa bebé,ejemplo,297,233.18,16.55,UND,True,2024-06-19
149,5901328078571,Handmade Hat,Hogar,Limpieza,oposición,710,127.6,14.93,KG,True,2023-10-18
150,9304748681387,New Plastic Fish,Moda,Pantalones,desde,795,389.07,3.88,UND,True,2026-05-03
151,4339083974592,Incredible Wooden Shirt,Moda,Pantalones,primeros,35,387.5,0.13,LT,True,2026-01-22
152,4537404741735,Chicken,Bebés,Pañales,tan,407,1277.1,11.7,UND,True,2024-11-20
153,1189079687660,Shirt,Hogar,Limpieza,carácter,271,204.3,10.47,UND,True,2024-09-22
154,5411070838076,Ball,Bebés,Pañales,participación,441,971.75,10.38,UND,True,2025-02-09
155,9725889048745,Awesome Steel Shirt,Bebés,Juguetes,época,773,733.07,10.83,KG,True,2025-12-24
156,8533344028987,Bike,Moda,Pantalones,autoridades,732,153.43,8.68,UND,True,2026-01-08
157,5389889134965,Keyboard,Hogar,Decoración,apenas,76,83.04,1.34,KG,True,2025-07-11
158,6711805630029,Chair,Hogar,Limpieza,capital,23,913.48,7.53,LT,True,2023-07-07
159,1359141083359,Tuna,Moda,Zapatos,época,570,524.17,4.21,KG,True,2023-06-14
160,1372584293611,Cheese,Hogar,Limpieza,hacer,28,752.36,0.51,UND,True,2025-01-24
161,6170939794630,Refined Soft Pizza,Bebés,Ropa bebé,servicios,433,384.26,0.91,KG,True,2023-08-23
162,7803913212651,Ball,Tecnología,Celulares,serán,703,119.11,13.35,KG,True,2025-06-12
163,7035405926160,Incredible Concrete Sausages,Bebés,Pañales,sociedad,300,396.52,9.41,KG,True,2024-08-10
164,8243431868104,Car,Tecnología,Celulares,considera,234,635.21,13.73,UND,True,2023-09-23
165,8774331544039,Computer,Hogar,Decoración,nueva,138,35.75,14.25,LT,True,2026-05-17
166,8999842009604,Incredible Cotton Keyboard,Tecnología,Computadores,consumo,324,535.03,3.21,UND,True,2024-11-30
167,6500756031029,Intelligent Plastic Pizza,Moda,Zapatos,verdad,611,758.33,6.15,UND,True,2024-12-12
168,0966079470550,Gorgeous Ball,Moda,Camisas,cambios,160,840.81,3.05,UND,True,2023-09-10
169,9132618242228,Licensed Rubber Pizza,Bebés,Ropa bebé,pues,101,523.07,4.92,UND,True,2024-03-07
170,7050693858610,Practical Cotton Sausages,Moda,Camisas,base,603,217.39,18.01,KG,True,2026-01-21
171,7893870228505,Plastic Bike,Tecnología,TV,casi,270,310.28,4.28,UND,True,2025-11-23
172,8745296590737,Gently Used Frozen Salad,Hogar,Cocina,tomar,189,75.58,4.67,LT,True,2024-10-05
173,3935844542362,Licensed Wooden Ball,Bebés,Juguetes,armas,230,946.87,18.08,KG,True,2023-07-01
174,7438975030891,Frozen Chicken,Moda,Pantalones,final,749,730.89,2.01,UND,True,2023-06-11
175,1202288374869,Soft Soap,Bebés,Pañales,solución,693,237.07,17.55,LT,True,2025-12-02
176,8393370721647,Small Cotton Chips,Tecnología,TV,ésta,112,601.36,15.02,LT,True,2025-06-14
177,7951976148629,Tasty Metal Mouse,Hogar,Cocina,hacerlo,276,616.18,4.29,LT,True,2025-11-24
178,2487841588412,Incredible Plastic Ball,Bebés,Pañales,amigo,58,110.52,5.77,UND,True,2025-06-15
179,7552417312366,Bacon,Bebés,Ropa bebé,bien,769,2535.12,0.44,UND,True,2024-12-13
180,5137295396640,Metal Ball,Bebés,Pañales,conocer,18,143.05,8.86,LT,True,2026-03-07
181,2877458415124,Pants,Moda,Zapatos,sur,395,39.74,9.3,KG,True,2024-02-18
182,2156542180040,Sausages,Moda,Camisas,eso,160,495.16,3.04,KG,True,2026-01-10
183,4189355496853,Intelligent Metal Pants,Bebés,Pañales,calle,594,463.84,15.71,KG,True,2024-07-23
184,0852294156983,Cheese,Tecnología,Celulares,antes,31,223.11,15.89,LT,True,2025-05-08
185,6753765617948,Refined Metal Bike,Moda,Camisas,carta,734,408.55,7.41,LT,True,2025-10-09
186,5483984968040,Practical Sausages,Hogar,Decoración,encontrar,66,151.11,0.67,KG,True,2025-01-07
187,5367685411923,Tasty Cotton Shoes,Bebés,Ropa bebé,quedó,775,60.07,10.76,KG,True,2023-10-01
188,4701023715983,Table,Tecnología,Celulares,dos,619,878.22,9.44,UND,True,2025-01-04
189,7403710057754,Fish,Moda,Zapatos,mejores,575,449.38,17.05,LT,True,2025-01-06
190,5767504575360,Ergonomic Granite Chips,Hogar,Decoración,operación,298,228.4,18.84,KG,True,2023-12-02
191,1385161782248,For repair Mouse,Hogar,Decoración,parece,371,1896.6,1.33,LT,True,2023-08-26
192,0280900486405,Cotton Hat,Bebés,Ropa bebé,corte,282,246.56,3.47,KG,True,2024-05-07
193,6118785899611,For repair Mouse,Tecnología,Celulares,proceso,311,598.91,12.49,UND,True,2023-09-08
194,4786846869914,Gorgeous Rubber Chicken,Bebés,Ropa bebé,cuatro,14,124.34,3.32,UND,True,2023-11-08
195,6471876330609,Licensed Steel Salad,Tecnología,Computadores,razón,386,36.45,15.18,KG,True,2025-03-24
196,8721866116828,Licensed Granite Computer,Bebés,Pañales,lópez,418,612.21,17.64,LT,True,2025-11-29
197,0403920736828,Frozen Soap,Bebés,Pañales,pasado,556,594.08,11.56,LT,True,2024-07-12
198,4556886231602,Generic Cotton Bacon,Hogar,Decoración,miembros,194,2246.62,12.35,LT,True,2025-10-13
199,7280574031614,Bike,Bebés,Ropa bebé,tipo,731,107.56,12.82,LT,True,2024-10-31
200,9497733427784,Handcrafted Rubber Soap,Moda,Zapatos,humana,225,61.88,17.32,KG,True,2024-10-19
201,4072402657553,Rubber Hat,Hogar,Cocina,unos,305,179.21,2.7,UND,True,2024-01-27
202,3011438602831,Fresh Pants,Moda,Pantalones,sino,749,576.24,17.54,LT,True,2025-03-03
203,4272692784698,Hat,Moda,Zapatos,negro,625,37.08,1.18,KG,True,2023-05-31
204,3432816653618,Chicken,Hogar,Cocina,comunidad,762,358.63,7.94,KG,True,2025-06-28
205,2584700160380,Refined Tuna,Hogar,Cocina,hay,605,208.58,14.28,KG,True,2024-03-04
206,9465253247847,Granite Bacon,Hogar,Limpieza,tener,682,222.15,11.74,KG,True,2025-11-19
207,5684556060500,Intelligent Fresh Chair,Moda,Pantalones,menos,527,137.74,14.48,LT,True,2023-05-31
208,4093955020984,Refined Bike,Hogar,Limpieza,casa,764,1005.06,13.45,UND,True,2025-02-10
209,7767074918114,Refined Computer,Hogar,Cocina,mes,354,67.23,15.67,UND,True,2024-12-21
210,0908751984283,Licensed Granite Salad,Bebés,Pañales,banco,181,854.82,10.58,KG,True,2025-03-27
211,8302688100464,Concrete Tuna,Moda,Camisas,aunque,477,537.22,12.37,UND,True,2026-02-01
212,7955638426681,Tasty Fresh Hat,Bebés,Ropa bebé,encima,419,205.28,17.55,KG,True,2025-05-17
213,1500804563323,Plastic Fish,Bebés,Juguetes,vino,781,1546.39,15.12,UND,True,2023-10-24
214,2478184355977,Gently Used Gloves,Moda,Zapatos,primer,741,50.13,14.01,KG,True,2024-12-22
215,0177187749265,Handmade Fresh Bike,Hogar,Decoración,fuerte,209,899.2,2.19,UND,True,2023-09-28
216,5522822013105,Used Car,Hogar,Cocina,trabajo,795,110.15,16.72,LT,True,2023-05-24
217,3685972110574,Soap,Hogar,Limpieza,recursos,733,209.48,4.51,LT,True,2024-11-10
218,7553020324647,Incredible Metal Ball,Hogar,Decoración,seguridad,795,452.21,8.83,LT,True,2026-03-15
219,2618787919859,Bike,Tecnología,Computadores,hablar,670,942.9,15.23,UND,True,2025-07-27
220,9743890155726,Refined Chicken,Hogar,Cocina,sabía,439,127.33,17.79,LT,True,2025-06-05
221,4903320933521,Shoes,Tecnología,Computadores,experiencia,568,585.85,16.17,LT,True,2025-09-17
222,7248417175062,Fish,Bebés,Ropa bebé,aparece,792,213.53,13.39,KG,True,2023-10-07
223,0775847169790,Sleek Towels,Hogar,Decoración,noche,174,140.94,1.51,KG,True,2025-10-03
224,7058671863984,Ergonomic Metal Keyboard,Tecnología,Celulares,sala,89,63.95,9.51,KG,True,2023-07-29
225,0093829622102,Granite Pants,Bebés,Ropa bebé,toda,32,226.53,17.68,UND,True,2023-08-30
226,3014844890557,New Towels,Hogar,Cocina,nuestra,514,92.07,0.57,LT,True,2025-04-26
227,5977311274206,For repair Plastic Ball,Tecnología,Computadores,tienen,127,97.54,4.13,KG,True,2023-07-08
228,3759641510092,Concrete Towels,Moda,Pantalones,miguel,11,203.49,16.38,KG,True,2024-12-26
229,0867919222387,Fish,Moda,Camisas,libro,568,261.08,5.71,KG,True,2024-07-07
230,9938331502744,Bacon,Hogar,Limpieza,libros,449,191.35,7.89,UND,True,2025-04-12
231,7989800132193,Fantastic Soft Ball,Tecnología,TV,explicó,491,354.94,4.56,KG,True,2024-11-20
232,1973759820221,Wooden Tuna,Bebés,Juguetes,bueno,480,1785.91,1.28,LT,True,2023-07-11
233,5336100033835,Pants,Hogar,Cocina,salir,218,169.33,13.53,UND,True,2025-07-13
234,1555194207562,Steel Shirt,Tecnología,TV,madrid,145,135.51,10.68,UND,True,2025-05-04
235,1812134510138,Bacon,Tecnología,TV,estamos,210,129.88,7.84,UND,True,2026-02-06
236,6835520867048,Awesome Pants,Moda,Camisas,iglesia,373,20.41,6.74,KG,True,2023-12-02
237,1637689507002,Chicken,Hogar,Decoración,derechos,632,175.53,10.11,UND,True,2024-09-19
238,1577673925408,Rustic Concrete Bacon,Hogar,Limpieza,incluso,786,1966.43,8.07,KG,True,2025-10-08
239,3139083632741,Rubber Bacon,Tecnología,Celulares,país,221,355.15,5.46,LT,True,2023-11-02
240,1334314570751,Sausages,Bebés,Ropa bebé,medidas,62,221.02,7.89,LT,True,2025-09-13
241,5329353175346,Practical Soap,Moda,Zapatos,sala,509,560.16,9.5,LT,True,2024-11-23
242,0660924497432,Gorgeous Salad,Hogar,Decoración,tendrá,97,215.46,18.43,LT,True,2025-03-01
243,4145577193604,Salad,Bebés,Ropa bebé,diversos,261,1142.58,14.13,KG,True,2025-12-15
244,7599499106360,Soft Gloves,Hogar,Limpieza,mayor,64,292.24,4.34,LT,True,2024-04-10
245,8781976421984,For repair Steel Bike,Moda,Zapatos,lugar,261,1341.21,5.62,LT,True,2023-06-02
246,9088330370520,Concrete Tuna,Bebés,Juguetes,familia,224,430.61,6.03,LT,True,2025-07-05
247,2866790224631,New Car,Bebés,Ropa bebé,oposición,142,562.31,11.61,LT,True,2024-01-23
248,2841933545088,Licensed Pizza,Hogar,Limpieza,central,333,284.36,12.58,KG,True,2023-05-22
249,8988342328674,Rubber Sausages,Hogar,Limpieza,teatro,95,872.87,5.3,LT,True,2025-10-13
250,6943349700962,Metal Keyboard,Bebés,Ropa bebé,ayuda,153,1806.58,8.69,UND,True,2025-06-27
251,4319788715072,Gently Used Chips,Hogar,Limpieza,costa,633,566.44,8.24,KG,True,2025-05-13
252,3031820801048,For repair Cotton Fish,Hogar,Limpieza,popular,317,276.25,6.53,UND,True,2024-11-07
253,6417993593367,Cotton Fish,Moda,Pantalones,estructura,410,877.79,11.91,UND,True,2024-11-05
254,8632826660711,Ergonomic Table,Tecnología,TV,director,162,206.77,0.9,UND,True,2024-04-09
255,4178339153455,Ergonomic Fish,Hogar,Limpieza,s,641,1365.87,17.78,UND,True,2025-03-31
256,8720101705605,Tuna,Hogar,Limpieza,conseguir,434,199.36,10.82,KG,True,2025-10-06
257,9897742766230,Soft Fish,Hogar,Decoración,estas,626,307.96,3.52,KG,True,2026-04-12
258,6182580980560,Steel Ball,Hogar,Cocina,libros,328,790.19,6.67,LT,True,2025-01-05
259,7828781363687,Tuna,Bebés,Juguetes,esta,685,42.89,2.31,KG,True,2025-02-07
260,0438819606838,Plastic Sausages,Tecnología,Celulares,historia,306,453.7,16.16,UND,True,2023-12-23
261,1598219552551,Fresh Bike,Moda,Zapatos,visita,426,388.32,14.61,KG,True,2024-03-21
262,7266678175652,Shoes,Hogar,Limpieza,conseguir,605,207.99,12.75,KG,True,2024-10-05
263,0244466399180,Incredible Tuna,Moda,Camisas,mañana,651,239.45,3.43,LT,True,2025-12-16
264,4611151869079,Sausages,Hogar,Decoración,vino,655,142.24,8.73,UND,True,2024-06-06
