id_devolucion,id_trans_origen,art_id,id_tienda,fec_devolucion,qty_devuelta,motivo_cod,canal_devolucion,estado_devolucion,vr_reembolso
262,901088,2588,145,2025-09-24,2,Entrega tardía,Web,Aprobada,4225.74
263,323552,2561,92,2026-01-17,3,Error talla,Mobile,Pendiente,99.9
264,505309,2112,40,2026-01-27,1,Producto defectuoso,Tienda,Rechazada,1704.63
265,110035,4375,120,2026-02-04,1,Entrega tardía,Mobile,Pendiente,3150.26
266,750890,2278,100,2026-04-17,1,Entrega tardía,Mobile,Aprobada,4347.86
267,900933,3699,47,2026-02-14,2,Entrega tardía,Tienda,Rechazada,8116.4
268,243438,2787,131,2026-04-23,1,Producto incompleto,Tienda,Pendiente,1446.02
269,933529,2624,105,2026-03-28,3,Producto incompleto,Tienda,Aprobada,10953.81
270,888876,4941,55,2025-12-01,4,Producto incompleto,Mobile,Rechazada,8754.36
271,840025,157,7,2026-03-28,3,Producto incompleto,Web,Aprobada,7445.4
272,684215,527,35,2026-03-24,3,Error talla,Tienda,Aprobada,2883.18
273,335451,1807,108,2025-06-06,2,Producto defectuoso,Web,Aprobada,9717.0
274,658495,2866,64,2026-04-07,1,Producto incompleto,Mobile,Rechazada,2770.08
275,582566,2067,28,2026-05-17,1,Entrega tardía,Mobile,Aprobada,2164.53
276,687170,4604,81,2025-08-29,1,Entrega tardía,Mobile,Rechazada,1945.84
277,439195,463,37,2026-01-31,1,Error talla,Tienda,Aprobada,2863.67
278,765790,4401,126,2026-04-11,3,Error talla,Tienda,Aprobada,84.66
279,773250,3623,72,2025-09-22,3,Producto defectuoso,Tienda,Aprobada,1367.85
280,474164,3036,136,2026-03-24,1,No era lo esperado,Tienda,Aprobada,4499.41
281,393441,4757,54,2026-03-21,1,Error talla,Tienda,Pendiente,2646.61
282,531078,4364,144,2026-03-14,3,Error talla,Tienda,Rechazada,5499.36
283,492499,223,114,2026-03-12,1,Error talla,Mobile,Pendiente,2801.99
284,778722,2539,5,2025-09-20,3,Entrega tardía,Web,Pendiente,6880.59
285,368689,1368,106,2025-12-27,1,Producto defectuoso,Web,Rechazada,512.4
286,442088,4062,106,2026-04-05,3,Producto incompleto,Web,Pendiente,4933.53
287,649860,4713,52,2026-02-23,2,Producto incompleto,Web,Rechazada,4973.78
288,799378,1214,123,2026-01-01,1,No era lo esperado,Mobile,Rechazada,1201.3
289,651478,209,143,2025-09-10,5,Error talla,Mobile,Aprobada,16833.55
290,142890,3980,17,2026-04-05,2,Entrega tardía,Tienda,Rechazada,2831.42
291,79664,3455,92,2026-05-03,2,Error talla,Web,Pendiente,2554.66
292,481717,2691,52,2025-10-14,3,Producto incompleto,Tienda,Rechazada,12479.82
293,416893,1047,9,2025-11-16,2,No era lo esperado,Mobile,Rechazada,376.54
294,214267,1950,87,2026-02-26,2,Entrega tardía,Tienda,Aprobada,8019.26
295,596415,1135,107,2025-12-10,2,Entrega tardía,Tienda,Rechazada,7666.98
296,502089,4550,108,2026-04-17,1,Entrega tardía,Web,Pendiente,3375.73
297,892454,3407,131,2025-10-09,2,No era lo esperado,Mobile,Aprobada,4420.78
298,964822,1515,88,2026-05-17,1,Error talla,Web,Rechazada,3041.1
299,749209,4091,56,2025-10-04,1,Producto incompleto,Tienda,Aprobada,3554.81
300,403583,4650,116,2026-03-09,1,No era lo esperado,Web,Rechazada,2626.89
301,857478,4590,33,2025-12-28,2,Error talla,Web,Aprobada,5377.72
302,442892,3054,9,2026-05-09,3,Entrega tardía,Tienda,Pendiente,13898.46
303,366173,3819,111,2025-08-02,2,Producto defectuoso,Tienda,Pendiente,6164.54
304,756217,683,149,2026-02-05,3,Error talla,Mobile,Rechazada,1322.07
305,325224,1177,130,2026-05-16,1,Producto defectuoso,Tienda,Aprobada,4217.79
306,354983,193,101,2026-05-07,3,Producto incompleto,Web,Rechazada,3181.32
307,109546,3957,141,2025-10-27,1,Entrega tardía,Tienda,Rechazada,421.67
308,103193,2799,40,2026-03-15,4,Entrega tardía,Web,Rechazada,4788.88
309,640015,2893,20,2025-08-17,1,Entrega tardía,Web,Rechazada,2012.68
310,991719,799,76,2026-03-12,1,Producto incompleto,Web,Aprobada,2112.71
311,76222,4897,64,2026-05-13,1,No era lo esperado,Web,Aprobada,726.54
312,564486,1474,116,2026-04-18,1,Entrega tardía,Mobile,Rechazada,4756.44
313,241283,435,37,2026-05-08,1,Entrega tardía,Tienda,Pendiente,2330.61
314,354163,86,100,2025-10-28,2,Producto incompleto,Web,Aprobada,9970.28
315,436137,2090,35,2025-12-22,1,Error talla,Tienda,Aprobada,4421.52
316,776354,682,54,2026-04-25,1,Entrega tardía,Web,Pendiente,4777.62
317,202614,3963,133,2025-12-02,1,Producto defectuoso,Mobile,Rechazada,3120.8
318,477322,3388,75,2026-01-25,4,Error talla,Web,Rechazada,1692.08
319,318488,174,130,2026-03-01,1,Error talla,Web,Aprobada,2165.35
320,491600,4939,70,2026-03-07,3,Error talla,Tienda,Aprobada,12827.85
321,366831,831,7,2026-02-16,1,Producto incompleto,Mobile,Pendiente,2261.45
322,478487,486,149,2025-09-27,3,Error talla,Web,Rechazada,5608.08
323,362953,4597,136,2026-05-02,1,Producto defectuoso,Tienda,Rechazada,1146.79
324,185352,2400,112,2026-01-08,2,Error talla,Mobile,Rechazada,3121.2
325,779330,2237,130,2026-05-03,1,Producto defectuoso,Mobile,Aprobada,4108.38
326,112842,3381,24,2026-02-26,1,Entrega tardía,Web,Pendiente,2035.47
327,923214,349,22,2026-04-26,4,Producto defectuoso,Mobile,Rechazada,12847.76
328,287366,4381,145,2025-09-06,1,Error talla,Tienda,Aprobada,2892.37
329,151287,1427,36,2026-02-22,1,No era lo esperado,Mobile,Pendiente,486.0
330,604450,361,149,2026-02-06,3,Error talla,Tienda,Pendiente,1135.89
331,970656,1597,104,2026-03-29,1,No era lo esperado,Web,Rechazada,2043.09
332,253762,2299,18,2025-09-28,4,Error talla,Web,Aprobada,6051.8
